type,date,time,time_count,radius,tweetID,keyframe,keyframe_name,author,message,latitude,longitude, location
mbdata,20140123194022,1940,5,4,772,13,Hostage Situation Witnesses,prettyRain,cops outside i think there's something wrong,,,
mbdata,20140123194029,1940,5,4,776,13,Hostage Situation Witnesses,protoGuy,going to move so I can get a better view,,,
mbdata,20140123194029,1940,5,4,783,13,Hostage Situation Witnesses,roger_roger,I'm here with?some other people - we're all hiding behind the counter.,,,
mbdata,20140123194041,1940,5,4,787,13,Hostage Situation Witnesses,SiaradSea,"Moved to freezer section, better protection",,,
mbdata,20140123194041,1940,5,4,788,13,Hostage Situation Witnesses,prettyRain,someone sais to get on the floor please send help,,,
mbdata,20140123194100,1941,15,5,798,13,Hostage Situation Witnesses,prettyRain,still here but there's lots more police. what's going on?!!?,,,
mbdata,20140123194100,1941,15,5,799,13,Hostage Situation Witnesses,roger_roger,I can hear sirens and chouting outside,,,
mbdata,20140123194107,1941,15,5,805,13,Hostage Situation Witnesses,roger_roger,what's going on out there?,,,
mbdata,20140123194113,1941,15,5,808,13,Hostage Situation Witnesses,truccotrucco,never been so scared under the table in gelatogalore cant see much just cop lights,36.059,24.856,
mbdata,20140123194113,1941,15,5,809,13,Hostage Situation Witnesses,protoGuy,going to get behind a wall,,,
mbdata,20140123194113,1941,15,5,812,13,Hostage Situation Witnesses,roger_roger,guy here peeked out window?- lots of people outside.,,,
mbdata,20140123194122,1941,15,5,815,13,Hostage Situation Witnesses,SiaradSea,This is crazy. Why didt'n iwait toget it later,,,
mbdata,20140123194129,1941,15,5,819,13,Hostage Situation Witnesses,roger_roger,someone tell cops we're in here,,,
mbdata,20140123194133,1941,15,5,821,13,Hostage Situation Witnesses,truccotrucco,why didnt i stay at the rally? im trapped in here the van is right outsdie the door,36.059,24.856,
mbdata,20140123194145,1941,15,5,827,13,Hostage Situation Witnesses,truccotrucco,I have to see outside not knowing is killing me!,36.059,24.856,
mbdata,20140123194145,1941,15,5,828,13,Hostage Situation Witnesses,megaMan,don't think anyone ran for it; they didn'thave time before police pulled in #TAG,,,
mbdata,20140123194148,1941,15,5,834,13,Hostage Situation Witnesses,truccotrucco,Everyone is hiding some guy just reached up and grabbed his food who can eat in a time like this?,36.059,24.856,
mbdata,20140123194148,1941,15,5,836,13,Hostage Situation Witnesses,megaMan,lots of people took cover. get behind something folks. #TAG,,,
mbdata,20140123194148,1941,15,5,840,13,Hostage Situation Witnesses,Simon_Hamaeth,I hope someone knows we're trapped in here #helpus #APD,,,
mbdata,20140123194157,1941,15,5,843,13,Hostage Situation Witnesses,megaMan,@ben some reporters have shown up - not sure whos who,,,
mbdata,20140123194203,1942,7,4,848,13,Hostage Situation Witnesses,megaMan,still only taking peeks #stayingbehindmymailbox #TAG,,,
mbdata,20140123194211,1942,7,4,850,13,Hostage Situation Witnesses,kingWilly,Just left coffee store - omg it could have been me. pray for people still there.,,,
mbdata,20140123194211,1942,7,4,851,13,Hostage Situation Witnesses,protoGuy,lots of people in the stores - do they know they are in danger?,,,
mbdata,20140123194211,1942,7,4,852,13,Hostage Situation Witnesses,megaMan,lots of people trapped inside gelato. idiot standing up is going to get shot #TAG,,,
mbdata,20140123194211,1942,7,4,853,13,Hostage Situation Witnesses,hempRules,Everyone stay indoors -- there's someone shooting people at Gelato Galor!!!!!  Don't go outside!,,,
mbdata,20140123194214,1942,7,4,854,13,Hostage Situation Witnesses,truccotrucco,stupid guy is standing up looking out the windows does he want to get shot?,36.059,24.856,
mbdata,20140123194222,1942,7,4,857,13,Hostage Situation Witnesses,truccotrucco,sit down pls!,36.059,24.856,
mbdata,20140123194300,1943,10,4,871,13,Hostage Situation Witnesses,soulofShi,Wow! Most excitement this town has seen in a while.  Going down to #GG to check it out. Who's with me?,,,
mbdata,20140123194300,1943,10,4,872,13,Hostage Situation Witnesses,SiaradSea,keping movig typinghard,,,
mbdata,20140123194300,1943,10,4,873,13,Hostage Situation Witnesses,roger_roger,Guy here thinks we can make a break for it. he's? chekcing the back room,,,
mbdata,20140123194311,1943,10,4,875,13,Hostage Situation Witnesses,megaMan,Hearing lots of sirens in the background - not as many here as you might think #TAG,,,
mbdata,20140123194322,1943,10,4,880,13,Hostage Situation Witnesses,megaMan,Newspaper people wandering around are going to get shot #TAG,,,
mbdata,20140123194322,1943,10,4,884,13,Hostage Situation Witnesses,prettyRain,someones going to try to get out of here i'm so scared,,,
mbdata,20140123194337,1943,10,4,886,13,Hostage Situation Witnesses,megaMan,"More sirens, people running down street away from gelato. I'm sticking. #TAG",,,
mbdata,20140123194337,1943,10,4,889,13,Hostage Situation Witnesses,sofitees,somany cops i cant beleive this is happening just wanted coffee,36.059,24.857,
mbdata,20140123194339,1943,10,4,891,13,Hostage Situation Witnesses,truccotrucco,im hearing more sirens i think i can get a view outside #shooting,36.059,24.856,
mbdata,20140123194346,1943,10,4,894,13,Hostage Situation Witnesses,rockStar113,police just told us to stay away from the area,,,
mbdata,20140123194400,1944,7,4,904,13,Hostage Situation Witnesses,megaMan,@ben sorry! its hard to report everything when yr behind a mailbox #TAG,,,
mbdata,20140123194400,1944,7,4,907,13,Hostage Situation Witnesses,roger_roger,I've gotta get out of here I can't believe this is happening,,,
mbdata,20140123194438,1944,7,4,923,13,Hostage Situation Witnesses,truccotrucco,putting my head back down #shooting,36.059,24.856,
mbdata,20140123194440,1944,7,4,927,13,Hostage Situation Witnesses,AbilaPost,Police evacuating corner around Alexandiras and Ithakis for public safety,,,
mbdata,20140123194441,1944,7,4,928,13,Hostage Situation Witnesses,megaMan,Cop telling me to go back up the street  #TAG,,,
mbdata,20140123194441,1944,7,4,929,13,Hostage Situation Witnesses,CentralBulletin,police evacuating area of shooting #Abila #CentralBulletin,,,
mbdata,20140123194451,1944,7,4,930,13,Hostage Situation Witnesses,megaMan,Behind a telephone pole #TAG #stillonit,,,
mbdata,20140123194500,1945,4,3,938,13,Hostage Situation Witnesses,FriendsOfKronos,police are doing something evacuating public around ALexandrias & Ithakis,,,
mbdata,20140123194500,1945,4,3,941,13,Hostage Situation Witnesses,KronosStar,APD is evacuating the area and ask that the public refrain from gawking  #KronosStar,,,
mbdata,20140123194511,1945,4,3,944,13,Hostage Situation Witnesses,truccotrucco,i think were trapped in here #gelatogalore #shooting,36.059,24.856,
mbdata,20140123194522,1945,4,3,953,13,Hostage Situation Witnesses,BoraVerissimo,Trapped in the grocery. Guess we won't starve,,,
mbdata,20140123194600,1946,4,3,958,13,Hostage Situation Witnesses,yomamma,OMG I live 10 minutes from the food store!!!!!!!,,,
mbdata,20140123194621,1946,4,3,962,13,Hostage Situation Witnesses,roger_roger,I think we're stuck,,,
mbdata,20140123194641,1946,4,3,969,13,Hostage Situation Witnesses,prettyRain,we cant getout,,,
mbdata,20140123194647,1946,4,3,971,13,Hostage Situation Witnesses,roger_roger,I can't stay here - going to take my changes out the back,,,
mbdata,20140123194700,1947,2,3,981,13,Hostage Situation Witnesses,roger_roger,no one but me wants to run. WHATS GOING ON OUT THERE???!!!!!,,,
mbdata,20140123194700,1947,2,3,982,13,Hostage Situation Witnesses,Simon_Hamaeth,so scary #standoff,,,
mbdata,20140123194813,1948,1,3,985,13,Hostage Situation Witnesses,SiaradSea,wonder if ii can snek out,,,
mbdata,20140123194900,1949,1,3,990,13,Hostage Situation Witnesses,prettyRain,please help us SOMEONE!!!!!!,,,
mbdata,20140123195000,1950,1,3,999,13,Hostage Situation Witnesses,roger_roger,gonna make a break for it. wish me luck.,,,
mbdata,20140123195500,1955,1,3,1015,13,Hostage Situation Witnesses,roger_roger,looked out back door - cop waved me to get back inside and stay. crap.,,,
mbdata,20140123195700,1957,4,3,1024,13,Hostage Situation Witnesses,truccotrucco,cant believe theres no backdoor here im ready to run! #standoff,36.059,24.856,
mbdata,20140123195700,1957,4,3,1031,13,Hostage Situation Witnesses,prettyRain,says we haev to stay here,,,
mbdata,20140123195732,1957,4,3,1032,13,Hostage Situation Witnesses,megaMan,I'm leaving if these guys all set up #TAG,,,
mbdata,20140123195732,1957,4,3,1035,13,Hostage Situation Witnesses,roger_roger,we decided to stay put. couple of us are gonna block the doors so no one can get inside.,,,
mbdata,20140123200000,2000,1,3,1061,13,Hostage Situation Witnesses,roger_roger,can't block the front door because of hte windows,,,
mbdata,20140123200111,2001,2,3,1067,13,Hostage Situation Witnesses,prettyRain,Is anyone going to help us??!!???,,,
mbdata,20140123200111,2001,2,3,1068,13,Hostage Situation Witnesses,roger_roger,don't want to be seen,,,
mbdata,20140123200332,2003,2,3,1073,13,Hostage Situation Witnesses,megaMan,thanks for the new follows all!  Im fairly safe here.  Police are working crowd down the street #TAG,,,
mbdata,20140123200332,2003,2,3,1077,13,Hostage Situation Witnesses,roger_roger,we're all on the floor. we managed to block the back door.,,,
mbdata,20140123200500,2005,5,4,1087,13,Hostage Situation Witnesses,sofitees,#APD is evacuating us #standoff,36.059,24.857,
mbdata,20140123200545,2005,5,4,1089,13,Hostage Situation Witnesses,megaMan,@areslittle I've been here since the start #TAG,,,
mbdata,20140123200545,2005,5,4,1090,13,Hostage Situation Witnesses,AbilaPost,#APD evacuating businesses near gelato glaore - please stay clear of the area near the intersection of Alexandrias & Ithakis #AbilaPost,,,
mbdata,20140123200545,2005,5,4,1092,13,Hostage Situation Witnesses,panopticon,#APD is evacuating people from Carlys coffeee across the street - arent we in the line of fire,,,
mbdata,20140123200545,2005,5,4,1093,13,Hostage Situation Witnesses,BoraVerissimo,They're getting us out of here. Just want to go home,,,
mbdata,20140123200545,2005,5,4,1094,13,Hostage Situation Witnesses,prettyRain,please pray for us,,,
mbdata,20140123200613,2006,4,3,1099,13,Hostage Situation Witnesses,CentralBulletin,Police evacuate surrounding businesses #Abila #CentralBulletin,,,
mbdata,20140123200627,2006,4,3,1102,13,Hostage Situation Witnesses,megaMan,probably not getting anywhere #TAG,,,
mbdata,20140123200658,2006,4,3,1105,13,Hostage Situation Witnesses,panopticon,looks like #APD is moving people from General grocer too,,,
mbdata,20140123200658,2006,4,3,1106,13,Hostage Situation Witnesses,roger_roger,still here,,,
mbdata,20140123200703,2007,3,3,1110,13,Hostage Situation Witnesses,SiaradSea,getting out!,,,
mbdata,20140123200709,2007,3,3,1119,13,Hostage Situation Witnesses,protoGuy,cops are getting people out of general grocer,,,
mbdata,20140123200709,2007,3,3,1120,13,Hostage Situation Witnesses,megaMan,starting to evacuate stores - think the gelato folk are stuck #TAG,,,
mbdata,20140123200801,2008,1,3,1127,13,Hostage Situation Witnesses,prettyRain,someone tell me whats gonig on out there PLEASE,,,
mbdata,20140123201000,2010,10,4,1133,13,Hostage Situation Witnesses,Sara_Nespola,I think i see people coming out the back of the General Grocer,,,
